agency,issue_month,pool_id,lpmi_flag,note_rate_min,note_rate_max,remaining_term_min,remaining_term_max,buy_up_mults,buy_down_mults
gnma,2021-06-01,24,0,4,4.999,171,999,4.98,6.38
gnma,2021-06-01,24,0,5,5.999,0,110,1.34,2.74
gnma,2021-06-01,24,0,5,5.999,111,120,3.81,5.21
gnma,2021-06-01,24,0,5,5.999,121,170,4.19,5.59
gnma,2021-06-01,24,0,5,5.999,171,999,4.98,6.38
gnma,2021-06-01,25,0,4,4.999,0,110,1.34,2.74
gnma,2021-06-01,25,0,4,4.999,111,120,3.81,5.21
gnma,2021-06-01,25,0,4,4.999,121,170,4.19,5.59
gnma,2021-06-01,25,0,4,4.999,171,999,4.98,6.38
gnma,2021-06-01,25,0,5,5.999,0,110,1.34,2.74
gnma,2021-06-01,25,0,5,5.999,111,120,3.81,5.21
gnma,2021-06-01,25,0,5,5.999,121,170,4.19,5.59
gnma,2021-06-01,25,0,5,5.999,171,999,4.98,6.38
fhlmc,2021-06-01,2583,0,4,4.999,0,110,1.34,2.74
fhlmc,2021-06-01,2583,0,4,4.999,111,120,3.81,5.21
fhlmc,2021-06-01,2583,0,4,4.999,121,170,4.19,5.59
fhlmc,2021-06-01,2583,0,4,4.999,171,999,4.98,6.38
fhlmc,2021-06-01,2583,0,5,5.999,0,110,1.34,2.74
fhlmc,2021-06-01,2583,0,5,5.999,111,120,3.81,5.21
fhlmc,2021-06-01,2583,0,5,5.999,121,170,4.19,5.59
fhlmc,2021-06-01,2583,0,5,5.999,171,999,4.98,6.38
fhlmc,2021-06-01,2584,0,4,4.999,0,110,1.34,2.74
fhlmc,2021-06-01,2584,0,4,4.999,111,120,3.81,5.21
fhlmc,2021-06-01,2584,0,4,4.999,121,170,4.19,5.59
fhlmc,2021-06-01,2584,0,4,4.999,171,999,4.98,6.38
fhlmc,2021-06-01,2584,0,5,5.999,0,110,1.34,2.74
fhlmc,2021-06-01,2584,0,5,5.999,111,120,3.81,5.21
fhlmc,2021-06-01,2584,0,5,5.999,121,170,4.19,5.59
fhlmc,2021-06-01,2584,0,5,5.999,171,999,4.98,6.38
fhlmc,2021-06-01,2585,0,4,4.999,0,110,1.34,2.74
fhlmc,2021-06-01,2585,0,4,4.999,111,120,3.81,5.21
fhlmc,2019-05-25,2585,0,4,4.999,121,170,4.19,5.59
fhlmc,2021-06-01,2585,0,4,4.999,171,999,4.98,6.38
fhlmc,2021-06-01,2585,0,5,5.999,0,110,1.34,2.74
fhlmc,2021-06-01,2585,0,5,5.999,111,120,3.81,5.21
fhlmc,2021-06-01,2585,0,5,5.999,121,170,4.19,5.59
fhlmc,2021-06-01,2585,0,5,5.999,171,999,4.98,6.38
gnma,2021-06-01,3434,0,4,4.999,0,110,1.34,2.74
gnma,2021-06-01,3434,0,4,4.999,111,120,3.81,5.21
gnma,2021-06-01,3434,0,4,4.999,121,170,4.19,5.59
gnma,2021-06-01,3434,0,4,4.999,171,999,4.98,6.38
gnma,2021-06-01,3434,0,5,5.999,0,110,1.34,2.74
gnma,2021-06-01,3434,0,5,5.999,111,120,3.81,5.21
gnma,2021-06-01,3434,0,5,5.999,121,170,4.19,5.59
gnma,2021-06-01,3434,0,5,5.999,171,999,4.98,6.38
gnma,2021-06-01,3438,0,4,4.999,0,110,1.34,2.74
gnma,2021-06-01,3438,0,4,4.999,111,120,3.81,5.21
gnma,2021-06-01,3438,0,4,4.999,121,170,4.19,5.59
gnma,2021-06-01,3438,0,4,4.999,171,999,4.98,6.38
gnma,2021-06-01,3438,0,5,5.999,0,110,1.34,2.74
gnma,2021-06-01,3438,0,5,5.999,111,120,3.81,5.21
gnma,2021-06-01,3438,0,5,5.999,121,170,4.19,5.59
gnma,2021-06-01,3438,0,5,5.999,171,999,4.98,6.38
